"";"Timestamp";"Gender";"Age";"City";"Profession";"Education";"Spread";"Emotion_Unbalance";"Places";"Holiday";"Counter";"Combat";"Equiped";"Safe";"Fear_Index";"Government_Efficiency";"Fear_on_Holiday";"Rumors_Impact";"NewSafeData";"NewAgeGroup";"NewEducation"
"73";"2/22/2017 20:38:44";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"5";"4";"4";"2";"5";"5";"5";"2";80;1,54312842455686;0,836888175197075;-0,843819717597593;"Safe";"15-25";"Post Graduate"
"74";"2/22/2017 20:38:55";"Male";"15-25";"Mumbai ";"Student";"Post Graduate";"4";"4";"4";"2";"3";"3";"2";"2";60;-0,745080482707518;0,0655130671341103;-0,730818037532506;"Safe";"15-25";"Post Graduate"
"75";"2/22/2017 20:38:55";"Male";"15-25";"Mumbai ";"Self Employed";"Graduate";"5";"3";"4";"1";"5";"3";"4";"3";70;0,510535112161225;0,633380609454903;-1,37008943000513;"Neutral";"15-25";"Graduate"
"76";"2/22/2017 20:39:52";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"4";"5";"2";"5";"5";"5";"3";82,5;1,73641195167323;0,0801838351087639;-0,366936967660827;"Neutral";"15-25";"Graduate"
"77";"2/22/2017 20:41:51";"Male";"35-45";"Toronto";"Employee at an organisation";"Masters";"2";"2";"5";"5";"5";"5";"5";"4";82,5;1,65782360594195;-1,71366796414611;2,10112852125262;"Unsafe";"35-45";"Post Graduate"
"78";"2/22/2017 20:43:10";"Male";"15-25";"Mumbai ";"Student";"Graduate";"4";"3";"4";"3";"3";"3";"2";"2";60;-0,859164143313704;0,0118820784959139;-0,138721228354694;"Safe";"15-25";"Graduate"
"79";"2/22/2017 20:44:39";"Male";"25-35";"Mumbai ";"Student";"Graduate";"4";"3";"4";"3";"3";"4";"4";"3";70;0,430725314792873;-0,111174777863646;0,18072868259097;"Neutral";"25-35";"Graduate"
"80";"2/22/2017 20:44:56";"Male";"15-25";"Mumbai ";"Student";"Post Graduate";"4";"2";"4";"4";"4";"5";"4";"2";72,5;0,851433283576011;-0,13228207011091;0,539756732045418;"Safe";"15-25";"Post Graduate"
"81";"2/22/2017 20:45:18";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"4";"4";"2";"4";"4";"4";"4";75;0,854042033316674;-0,0722785115098546;-0,191239652747564;"Unsafe";"15-25";"Graduate"
"82";"2/22/2017 20:50:41";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"5";"4";"3";"4";"4";"4";"3";77,5;0,601365433021794;0,209634457058584;0,251408011145812;"Neutral";"15-25";"Graduate"
"83";"2/22/2017 20:51:39";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"2";"5";"4";"3";"4";"3";"2";67,5;-0,158521082337224;0,0552364766331474;0,540504146778811;"Safe";"15-25";"UnderGraduate"
"84";"2/22/2017 20:51:56";"Male";"15-25";"Bangalore";"Employee at an organisation";"Masters";"5";"5";"4";"5";"2";"2";"2";"2";67,5;-1,85439739775784;1,38211450335202;1,01897810251401;"Safe";"15-25";"Post Graduate"
"85";"2/22/2017 20:55:35";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Post Graduate";"4";"4";"5";"3";"4";"4";"3";"3";75;0,255896631628163;0,244351801058358;0,214549827475119;"Neutral";"15-25";"Post Graduate"
"86";"2/22/2017 20:56:40";"Female";"15-25";"Hyderabad";"Student";"Post Graduate";"3";"4";"4";"3";"4";"4";"4";"2";70;0,565352862045259;-0,779514785122992;0,166058751752379;"Safe";"15-25";"Post Graduate"
"87";"2/22/2017 20:57:00";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Masters";"3";"3";"5";"4";"3";"3";"3";"2";65;-0,558685164474162;-0,645627227017131;0,758902975663584;"Safe";"15-25";"Post Graduate"
